# lemma(1sg.ipfv.pres)	V;1;SG;IPFV;PRS	V;2;SG;IPFV;PRS	V;3;SG;IPFV;PRS	V;1;PL;IPFV;PRS	V;2;PL;IPFV;PRS	V;3;PL;IPFV;PRS	V;1;SG;IPFV;PST	V;2;SG;IPFV;PST	V;3;SG;IPFV;PST	V;1;PL;IPFV;PST	V;2;PL;IPFV;PST	V;3;PL;IPFV;PST	V;1;SG;PFV;PST	V;2;SG;PFV;PST	V;3;SG;PFV;PST	V;1;PL;PFV;PST	V;2;PL;PFV;PST	V;3;PL;PFV;PST	V;2;SG;IMP	V;2;PL;IMP	V;PTCP  ("-" = productive default)
αδελφώνω	-	-	-	-	-	-	αδέλφωνα	αδέλφωνες	αδέλφωνε	αδελφώναμε	αδελφώνατε	αδέλφωναν	αδέλφωσα	αδέλφωσες	αδέλφωσε	αδελφώσαμε	αδελφώσατε	αδέλφωσαν	αδέλφωνε	αδελφώνετε	-
αδερφώνομαι	αδερφώνομαι	αδερφώνεσαι	αδερφώνεται	αδερφωνόμαστε	αδερφωνόσαστε1	αδερφώνονται	αδερφωνόμουν	αδερφωνόσουν	αδερφωνόταν	αδερφωνόμασταν	αδερφωνόσασταν	αδερφωνόντανε	αδερφώθηκα	αδερφώθηκες	αδερφώθηκε	αδερφωθήκαμε	αδερφωθήκατε	αδερφωθήκανε	αδερφώσου	αδερφωθείτε	-
αδερφώνω	-	-	-	-	-	-	αδέρφωνα	αδέρφωνες	αδέρφωνε	αδερφώναμε	αδερφώνατε	αδέρφωναν	αδέρφωσα	αδέρφωσες	αδέρφωσε	αδερφώσαμε	αδερφώσατε	αδέρφωσαν	αδέρφωνε	αδερφώνετε	-
αδημονώ	αδημονώ	αδημονείς	αδημονεί	αδημονούμε	αδημονείτε	αδημονούν	αδημονούσα	αδημονούσες	αδημονούσε	αδημονούσαμε	αδημονούσατε	αδημονούσαν	-	-	-	-	-	-	-	αδημονείτε	-
αδιαφορώ	αδιαφορώ	αδιαφορείς	αδιαφορεί	αδιαφορούμε	αδιαφορείτε	αδιαφορούν	αδιαφορούσα	αδιαφορούσες	αδιαφορούσε	αδιαφορούσαμε	αδιαφορούσατε	αδιαφορούσαν	αδιαφόρησα	αδιαφόρησες	αδιαφόρησε	αδιαφορήσαμε	αδιαφορήσατε	αδιαφορήσαν	αδιαφόρησε	αδιαφορήστε	αδιαφορώντας
αδικούμαι	αδικούμαι	αδικείσαι	αδικείται	αδικούμαστε	αδικείστε	αδικούνται	αδικιόμουν	αδικιόσουν	αδικιόταν	αδικιόμασταν	αδικιόσασταν	αδικιούνταν	αδικήθηκα	αδικήθηκες	αδικήθηκε	αδικηθήκαμε	αδικηθήκατε	αδικήθηκαν	αδικήσου	αδικείστε	—
αδικώ	αδικώ	αδικείς	αδικεί	αδικούμε	αδικείτε	αδικούν	αδικούσα	αδικούσες	αδικούσε	αδικούσαμε	αδικούσατε	αδικούσαν	αδίκησα	αδίκησες	αδίκησε	αδικήσαμε	αδικήσατε	αδίκησαν	αδίκησε	αδικήστε	αδικώντας
αδρανοποιούμαι	αδρανοποιούμαι	αδρανοποιείσαι	αδρανοποιείται	αδρανοποιούμαστε	αδρανοποιείστε	αδρανοποιούνται	αδρανοποιιόμουν	αδρανοποιιόσουν	αδρανοποιιόταν	αδρανοποιιόμασταν	αδρανοποιιόσασταν	αδρανοποιιούνταν	αδρανοποιήθηκα	αδρανοποιήθηκες	αδρανοποιήθηκε	αδρανοποιηθήκαμε	αδρανοποιηθήκατε	αδρανοποιήθηκαν	αδρανοποιήσου	αδρανοποιείστε	—
αδρανοποιώ	αδρανοποιώ	αδρανοποιείς	αδρανοποιεί	αδρανοποιούμε	αδρανοποιείτε	αδρανοποιούν	αδρανοποιούσα	αδρανοποιούσες	αδρανοποιούσε	αδρανοποιούσαμε	αδρανοποιούσατε	αδρανοποιούσαν	αδρανοποίησα	αδρανοποίησες	αδρανοποίησε	αδρανοποιήσαμε	αδρανοποιήσατε	αδρανοποίησαν	αδρανοποίησε	αδρανοποιήστε	αδρανοποιώντας
αδροπληρώνω	-	-	-	-	-	-	αδροπλήρωνα	αδροπλήρωνες	αδροπλήρωνε	αδροπληρώναμε	αδροπληρώνατε	αδροπλήρωναν	αδροπλήρωσα	αδροπλήρωσες	αδροπλήρωσε	αδροπληρώσαμε	αδροπληρώσατε	αδροπλήρωσαν	αδροπλήρωνε	αδροπληρώνετε	-
αδυνατίζω	-	-	-	-	-	-	αδυνάτιζα	αδυνάτιζες	αδυνάτιζε	αδυνατίζαμε	αδυνατίζατε	αδυνάτιζαν	αδυνάτισα	αδυνάτισες	αδυνάτισε	αδυνατίσαμε	αδυνατίσατε	αδυνάτισαν	αδυνάτιζε	αδυνατίζετε	-
αδυνατώ	αδυνατώ	αδυνατείς	αδυνατεί	αδυνατούμε	αδυνατείτε	αδυνατούν	αδυνατούσα	αδυνατούσες	αδυνατούσε	αδυνατούσαμε	αδυνατούσατε	αδυνατούσαν	-	-	-	-	-	-	-	αδυνατείτε	-
αερίζομαι	αερίζομαι	αερίζεσαι	αερίζεται	αεριζόμαστε	αερίζεστε	αερίζονται	αεριζόμουν	αεριζόσουν	αεριζόταν	αεριζόμασταν	αεριζόσασταν	αερίζονταν	αερίστηκα	αερίστηκες	αερίστηκε	αεριστήκαμε	αεριστήκατε	αερίστηκαν	αερίσου	αεριστείτε	-
αερίζω	-	-	-	-	-	-	αέριζα	αέριζες	αέριζε	αερίζαμε	αερίζατε	αέριζαν	αέρισα	αέρισες	αέρισε	αερίσαμε	αερίσατε	αέρισαν	αέριζε	αερίζετε	-
αεροκοπανίζω	-	-	-	-	-	-	αεροκοπάνιζα	αεροκοπάνιζες	αεροκοπάνιζε	αεροκοπανίζαμε	αεροκοπανίζατε	αεροκοπάνιζαν	αεροκοπάνισα	αεροκοπάνισες	αεροκοπάνισε	αεροκοπανίσαμε	αεροκοπανίσατε	αεροκοπάνισαν	αεροκοπάνιζε	αεροκοπανίζετε	-
αηδιάζομαι	αηδιάζομαι	αηδιάζεσαι	αηδιάζεται	αηδιαζόμαστε	αηδιάζεστε	αηδιάζονται	αηδιαζόμουν	αηδιαζόσουν	αηδιαζόταν	αηδιαζόμασταν	αηδιαζόσασταν	αηδιάζονταν	αηδιάστηκα	αηδιάστηκες	αηδιάστηκε	αηδιαστήκαμε	αηδιαστήκατε	αηδιάστηκαν	αηδιάσου	αηδιαστείτε	-
αηδιάζω	-	-	-	-	-	-	αηδίαζα	αηδίαζες	αηδίαζε	αηδιάζαμε	αηδιάζατε	αηδίαζαν	αηδίασα	αηδίασες	αηδίασε	αηδιάσαμε	αηδιάσατε	αηδίασαν	αηδίαζε	αηδιάζετε	-
αθετούμαι	αθετούμαι	αθετείσαι	αθετείται	αθετούμαστε	αθετείστε	αθετούνται	αθετιόμουν	αθετιόσουν	αθετιόταν	αθετιόμασταν	αθετιόσασταν	αθετιούνταν	αθετήθηκα	αθετήθηκες	αθετήθηκε	αθετηθήκαμε	αθετηθήκατε	αθετήθηκαν	αθετήσου	αθετείστε	—
αθετώ	αθετώ	αθετείς	αθετεί	αθετούμε	αθετείτε	αθετούν	αθετούσα	αθετούσες	αθετούσε	αθετούσαμε	αθετούσατε	αθετούσαν	αθέτησα	αθέτησες	αθέτησε	αθετήσαμε	αθετήσατε	αθέτησαν	αθέτησε	αθετήστε	αθετώντας
αθροίζομαι	αθροίζομαι	αθροίζεσαι	αθροίζεται	αθροιζόμαστε	αθροίζεστε	αθροίζονται	αθροιζόμουν	αθροιζόσουν	αθροιζόταν	αθροιζόμασταν	αθροιζόσασταν	αθροίζονταν	αθροίστηκα	αθροίστηκες	αθροίστηκε	αθροιστήκαμε	αθροιστήκατε	αθροίστηκαν	αθροίσου	αθροιστείτε	-
αθροίζω	-	-	-	-	-	-	άθροιζα	άθροιζες	άθροιζε	αθροίζαμε	αθροίζατε	άθροιζαν	άθροισα	άθροισες	άθροισε	αθροίσαμε	αθροίσατε	άθροισαν	άθροιζε	αθροίζετε	-
αθωώνομαι	αθωώνομαι	αθωώνεσαι	αθωώνεται	αθωωνόμαστε	αθωωνόσαστε1	αθωώνονται	αθωωνόμουν	αθωωνόσουν	αθωωνόταν	αθωωνόμασταν	αθωωνόσασταν	αθωωνόντανε	αθωώθηκα	αθωώθηκες	αθωώθηκε	αθωωθήκαμε	αθωωθήκατε	αθωωθήκανε	αθωώσου	αθωωθείτε	-
αθωώνω	-	-	-	-	-	-	αθώωνα	αθώωνες	αθώωνε	αθωώναμε	αθωώνατε	αθωώναν	αθώωσα	αθώωσες	αθώωσε	αθωώσαμε	αθωώσατε	αθωώσαν	αθώωνε	αθωώνετε	-
αιματοκυλίζω	-	-	-	-	-	-	αιματοκύλιζα	αιματοκύλιζες	αιματοκύλιζε	αιματοκυλίζαμε	αιματοκυλίζατε	αιματοκυλίζαν	αιματοκύλισα	αιματοκύλισες	αιματοκύλισε	αιματοκυλίσαμε	αιματοκυλίσατε	αιματοκυλίσαν	αιματοκύλιζε	αιματοκυλίζετε	-
αιματώνω	-	-	-	-	-	-	αιμάτωνα	αιμάτωνες	αιμάτωνε	αιματώναμε	αιματώνατε	αιμάτωναν	αιμάτωσα	αιμάτωσες	αιμάτωσε	αιματώσαμε	αιματώσατε	αιμάτωσαν	αιμάτωνε	αιματώνετε	-
αιμορραγώ	αιμορραγώ	αιμορραγείς	αιμορραγεί	αιμορραγούμε	αιμορραγείτε	αιμορραγούν	αιμορραγούσα	αιμορραγούσες	αιμορραγούσε	αιμορραγούσαμε	αιμορραγούσατε	αιμορραγούσαν	αιμορράγησα	αιμορράγησες	αιμορράγησε	αιμορραγήσαμε	αιμορραγήσατε	αιμορράγησαν	αιμορράγησε	αιμορραγήστε	αιμορραγώντας
αισιοδοξώ	αισιοδοξώ	αισιοδοξείς	αισιοδοξεί	αισιοδοξούμε	αισιοδοξείτε	αισιοδοξούν	αισιοδοξούσα	αισιοδοξούσες	αισιοδοξούσε	αισιοδοξούσαμε	αισιοδοξούσατε	αισιοδοξούσαν	-	-	-	-	-	-	-	αισιοδοξείτε	-
αιτιολογώ	αιτιολογώ	αιτιολογείς	αιτιολογεί	αιτιολογούμε	αιτιολογείτε	αιτιολογούν	αιτιολογούσα	αιτιολογούσες	αιτιολογούσε	αιτιολογούσαμε	αιτιολογούσατε	αιτιολογούσαν	αιτιολόγησα	αιτιολόγησες	αιτιολόγησε	αιτιολογήσαμε	αιτιολογήσατε	αιτιολογήσαν	αιτιολόγησε	αιτιολογήστε	αιτιολογώντας
αιφνιδιάζομαι	αιφνιδιάζομαι	αιφνιδιάζεσαι	αιφνιδιάζεται	αιφνιδιαζόμαστε	αιφνιδιάζεστε	αιφνιδιάζονται	αιφνιδιαζόμουν	αιφνιδιαζόσουν	αιφνιδιαζόταν	αιφνιδιαζόμασταν	αιφνιδιαζόσασταν	αιφνιδιάζονταν	αιφνιδιάστηκα	αιφνιδιάστηκες	αιφνιδιάστηκε	αιφνιδιαστήκαμε	αιφνιδιαστήκατε	αιφνιδιάστηκαν	αιφνιδιάσου	αιφνιδιαστείτε	-
αιφνιδιάζω	-	-	-	-	-	-	αιφνιδίαζα	αιφνιδίαζες	αιφνιδίαζε	αιφνιδιάζαμε	αιφνιδιάζατε	αιφνιδίαζαν	αιφνιδίασα	αιφνιδίασες	αιφνιδίασε	αιφνιδιάσαμε	αιφνιδιάσατε	αιφνιδίασαν	αιφνιδίαζε	αιφνιδιάζετε	-
αιχμαλωτίζομαι	αιχμαλωτίζομαι	αιχμαλωτίζεσαι	αιχμαλωτίζεται	αιχμαλωτιζόμαστε	αιχμαλωτίζεστε	αιχμαλωτίζονται	αιχμαλωτιζόμουν	αιχμαλωτιζόσουν	αιχμαλωτιζόταν	αιχμαλωτιζόμασταν	αιχμαλωτιζόσασταν	αιχμαλωτίζονταν	αιχμαλωτίστηκα	αιχμαλωτίστηκες	αιχμαλωτίστηκε	αιχμαλωτιστήκαμε	αιχμαλωτιστήκατε	αιχμαλωτίστηκαν	αιχμαλωτίσου	αιχμαλωτιστείτε	-
αιχμαλωτίζω	-	-	-	-	-	-	αιχμαλώτιζα	αιχμαλώτιζες	αιχμαλώτιζε	αιχμαλωτίζαμε	αιχμαλωτίζατε	αιχμαλωτίζαν	αιχμαλώτισα	αιχμαλώτισες	αιχμαλώτισε	αιχμαλωτίσαμε	αιχμαλωτίσατε	αιχμαλωτίσαν	αιχμαλώτιζε	αιχμαλωτίζετε	-
ακινητοποιούμαι	ακινητοποιούμαι	ακινητοποιείσαι	ακινητοποιείται	ακινητοποιούμαστε	ακινητοποιείστε	ακινητοποιούνται	ακινητοποιιόμουν	ακινητοποιιόσουν	ακινητοποιιόταν	ακινητοποιιόμασταν	ακινητοποιιόσασταν	ακινητοποιιούνταν	ακινητοποιήθηκα	ακινητοποιήθηκες	ακινητοποιήθηκε	ακινητοποιηθήκαμε	ακινητοποιηθήκατε	ακινητοποιήθηκαν	ακινητοποιήσου	ακινητοποιείστε	—
ακινητοποιώ	ακινητοποιώ	ακινητοποιείς	ακινητοποιεί	ακινητοποιούμε	ακινητοποιείτε	ακινητοποιούν	ακινητοποιούσα	ακινητοποιούσες	ακινητοποιούσε	ακινητοποιούσαμε	ακινητοποιούσατε	ακινητοποιούσαν	ακινητοποίησα	ακινητοποίησες	ακινητοποίησε	ακινητοποιήσαμε	ακινητοποιήσατε	ακινητοποίησαν	ακινητοποίησε	ακινητοποιήστε	ακινητοποιώντας
ακολουθάω	-	ακολουθάς	ακολουθά	ακολουθάμε	ακολουθάτε	ακολουθάν	ακολουθούσα	ακολουθούσες	ακολουθούσε	ακολουθάγαμε	ακολουθάγατε	ακολουθάγανε	ακολούθησα	ακολούθησες	ακολούθησε	ακολουθήσαμε	ακολουθήσατε	ακολουθήσαν	ακολούθησε	ακολουθήστε	ακολουθώντας
ακολουθούμαι	ακολουθούμαι	ακολουθείσαι	ακολουθείται	ακολουθούμαστε	ακολουθείστε	ακολουθούνται	ακολουθιόμουν	ακολουθιόσουν	ακολουθιόταν	ακολουθιόμασταν	ακολουθιόσασταν	ακολουθιούνταν	ακολουθήθηκα	ακολουθήθηκες	ακολουθήθηκε	ακολουθηθήκαμε	ακολουθηθήκατε	ακολουθήθηκαν	ακολουθήσου	ακολουθείστε	—
ακολουθώ	ακολουθάω	ακολουθάς	ακολουθά	ακολουθάμε	ακολουθάτε	ακολουθάν	ακολουθούσα	ακολουθούσες	ακολουθούσε	ακολουθάγαμε	ακολουθάγατε	ακολουθάγανε	ακολούθησα	ακολούθησες	ακολούθησε	ακολουθήσαμε	ακολουθήσατε	ακολουθήσαν	ακολούθησε	ακολουθήστε	ακολουθώντας
ακομπανιάρω	-	-	-	-	-	-	ακομπανιάριζα	ακομπανιάριζες	ακομπανιάριζε	ακομπανιάραμε	ακομπανιάρατε	ακομπανιάραν	ακομπανιάρισα	ακομπανιάρισες	ακομπανιάρισε	ακομπανιάραμε	ακομπανιάρατε	ακομπανιάραν	ακομπανιάριζε	ακομπανιάρετε	-
ακονίζομαι	ακονίζομαι	ακονίζεσαι	ακονίζεται	ακονιζόμαστε	ακονίζεστε	ακονίζονται	ακονιζόμουν	ακονιζόσουν	ακονιζόταν	ακονιζόμασταν	ακονιζόσασταν	ακονίζονταν	ακονίστηκα	ακονίστηκες	ακονίστηκε	ακονιστήκαμε	ακονιστήκατε	ακονίστηκαν	ακονίσου	ακονιστείτε	-
