# lemma(infinitive)	V;NFIN	V;IND;PRS;SG;1	V;IND;PRS;SG;2	V;IND;PRS;SG;3	V;IND;PRS;PL;1	V;IND;PRS;PL;2	V;IND;PRS;PL;3	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PST
goen	-	ginn	gees	geet	ginn	gitt	ginn	géi	gitt	gaang
gruewen	-	-	griefs	grieft	-	grueft	-	gruef	grueft	gegruewen
gräifen	-	-	-	-	-	-	-	-	-	gegraff
géissen	-	-	-	-	-	-	-	-	-	gegoss
gëllen	-	-	-	-	-	-	-	-	-	gegollt
haen	-	-	hees	heet	-	-	-	-	-	gehaen
halen	-	-	häls	hält	-	haalt	-	-	haalt	gehalen
hanneschtsetzen	-	-	-	-	-	-	-	-	-	hanneschtgesat
heemschécken	-	-	-	-	-	-	-	-	-	heemgeschéckt
hellegspriechen	-	-	-	-	-	-	-	-	-	helleggesprach
hexen	-	-	hex	-	-	-	-	-	-	-
hidden	-	-	hitts	hitt	-	hitt	-	hitt	hitt	gehitt
hiewen	-	-	hiefs	hieft	-	hieft	-	hief	hieft	gehuewen
hindeiten	-	-	-	-	-	-	-	-	-	higedeit
hiweisen	-	-	-	-	-	-	-	-	-	higewisen
huelen	-	-	hëls	hëlt	-	-	-	-	-	geholl
hunn	hunn	hunn	hues	huet	hunn	hutt	hunn	hief	hieft	gehat
häerden	-	-	häerts	häert	-	häert	-	häert	häert	gehäert
hänken	-	-	-	-	-	-	-	-	-	gehaang
héieren	-	-	-	-	-	-	-	-	-	gehéiert
héijen	-	-	-	-	-	-	-	-	-	gehéicht
hëllefen	-	-	-	-	-	-	-	-	-	gehollef
ieren	-	-	-	-	-	-	-	-	-	gëiert
iergeren	-	-	-	-	-	-	-	-	-	gëiergert
ierwen	-	-	ierfs	ierft	-	ierft	-	ierf	ierft	gëierft
iessen	-	-	ëss	ësst	-	-	-	-	-	giess
iren	-	-	-	-	-	-	-	-	-	gëiert
iwwerdreiwen	-	-	iwwerdreifs	iwwerdreift	-	iwwerdreift	-	iwwerdreif	iwwerdreift	iwwerdriwwen
iwwergräifen	-	-	-	-	-	-	-	-	-	iwwergegraff
iwwerliewen	-	-	iwwerliefs	iwwerlieft	-	iwwerlieft	-	iwwerlief	iwwerlieft	iwwerlieft
iwwerliwweren	-	-	-	-	-	-	-	-	-	iwwerliwwert
